Year, Country, Accident_ID, Accident_Severity, Helmet_Use, Injury_Severity_Score, Road_Type, Weather_Condition, Time_of_Day, Age_of_Driver, Helmet_Law_Enforced, Traffic_Density, Alcohol_Involved, Speed_Limit
2022, Liberia, ACC1       , Moderate         , Yes       ,                     2, Urban    , Rainy            , Afternoon  ,            50, Yes                , Medium         , No              , 41-60 km/h
2019, Liberia, ACC2       , Moderate         , Yes       ,                     6, Rural    , Rainy            , Afternoon  ,            22, Yes                , Low            , Yes             , 61-80 km/h
2020, Liberia, ACC3       , Minor            , No        ,                    12, Urban    , Rainy            , Evening    ,            45, Yes                , Low            , Yes             , 41-60 km/h
2022, Nigeria, ACC4       , Severe           , No        ,                     5, Urban    , Clear            , Afternoon  ,            31, Yes                , Low            , No              , 41-60 km/h
2018, Liberia, ACC5       , Moderate         , No        ,                    13, Urban    , Rainy            , Evening    ,            22, Yes                , High           , No              , <=40 km/h
2023, Liberia, ACC6       , Minor            , No        ,                    10, Urban    , Clear            , Night      ,            50, No                 , High           , No              , <=40 km/h
2020, Nigeria, ACC7       , Fatal            , No        ,                     9, Rural    , Clear            , Morning    ,            58, Yes                , Medium         , No              , 80+ km/h
2020, Liberia, ACC8       , Severe           , No        ,                    12, Rural    , Clear            , Afternoon  ,            36, Yes                , Medium         , No              , 41-60 km/h
2022, Nigeria, ACC9       , Fatal            , Yes       ,                     5, Rural    , Rainy            , Morning    ,            39, Yes                , Medium         , Yes             , 41-60 km/h
2017, Nigeria, ACC10      , Severe           , Yes       ,                     2, Rural    , Cloudy           , Afternoon  ,            22, Yes                , Medium         , No              , 61-80 km/h
2018, Liberia, ACC11      , Moderate         , Yes       ,                     5, Urban    , Rainy            , Morning    ,            19, Yes                , High           , Yes             , 41-60 km/h
2022, Nigeria, ACC12      , Moderate         , No        ,                    15, Urban    , Rainy            , Afternoon  ,            47, No                 , High           , Yes             , 80+ km/h
2018, Liberia, ACC13      , Fatal            , No        ,                    12, Urban    , Rainy            , Afternoon  ,            56, Yes                , Medium         , No              , 61-80 km/h
2018, Nigeria, ACC14      , Severe           , Yes       ,                     4, Urban    , Rainy            , Afternoon  ,            21, No                 , Medium         , No              , 41-60 km/h
2023, Nigeria, ACC15      , Minor            , No        ,                    15, Rural    , Clear            , Afternoon  ,            50, Yes                , Low            , No              , 61-80 km/h
2020, Liberia, ACC16      , Minor            , No        ,                    11, Urban    , Clear            , Afternoon  ,            30, No                 , High           , No              , <=40 km/h
2019, Nigeria, ACC17      , Minor            , Yes       ,                     7, Rural    , Clear            , Afternoon  ,            37, Yes                , Low            , No              , 41-60 km/h
